nr,greek_transcription,greek_phonetic,en_translation,en_importance_reason,en_audio_url,de_translation,de_importance_reason,de_audio_url,es_translation,es_importance_reason,es_audio_url,ru_translation,ru_importance_reason,ru_audio_url,level,difficulty,frequency
1,Καλησπέρα,ka-li-SPÉ-ra,Good evening,Evening greeting essential for social interactions,,Guten Abend,Abendbegrüßung notwendig für soziale Interaktionen,,Buenas tardes,Saludo vespertino esencial para interacciones sociales,,Добрый вечер,Вечернее приветствие необходимое для социальных взаимодействий,,A2,easy,5
2,Πόσο κοστίζει,PÓ-so ko-STÍ-zi,How much does it cost,Essential shopping phrase used in stores daily,,Wie viel kostet es,Wichtige Einkaufs-Phrase täglich in Geschäften verwendet,,Cuánto cuesta,Frase de compras esencial usada en tiendas diariamente,,Сколько стоит,Важная фраза покупок используется в магазинах ежедневно,,A2,easy,5
3,Θέλω ένα καφέ,THÉ-lo é-na ka-FÉ,I want a coffee,Daily ordering phrase used in cafes,,Ich möchte einen Kaffee,Tägliche Bestell-Phrase in Cafés verwendet,,Quiero un café,Frase de pedido diaria usada en cafeterías,,Хочу кофе,Ежедневная фраза заказа используется в кафе,,A2,medium,4
4,Πού είναι το ξενοδοχείο,POÚ í-ne to kse-no-do-CHÍ-o,Where is the hotel,Important travel phrase for navigation,,Wo ist das Hotel,Wichtige Reise-Phrase für Navigation,,Dónde está el hotel,Frase de viaje importante para navegación,,Где отель,Важная фраза путешествия для навигации,,A2,medium,4
5,Συγγνώμη,si-GHNO-mi,Sorry,Polite apology word essential for courtesy,,Entschuldigung,Höfliches Entschuldigungs-Wort notwendig für Höflichkeit,,Perdón,Palabra de disculpa educada esencial para cortesía,,Извините,Вежливое слово извинения необходимое для вежливости,,A2,easy,5
6,Καταλαβαίνω,ka-ta-la-VÉ-no,I understand,Comprehension word useful in learning conversations,,Ich verstehe,Verständnis-Wort nützlich in Lern-Gesprächen,,Entiendo,Palabra de comprensión útil en conversaciones de aprendizaje,,Понимаю,Слово понимания полезное в обучающих разговорах,,A2,hard,3
7,Δεν καταλαβαίνω,dhen ka-ta-la-VÉ-no,I don't understand,Key phrase for learning indicating confusion,,Ich verstehe nicht,Schlüssel-Phrase beim Lernen zeigt Verwirrung an,,No entiendo,Frase clave para aprendizaje indicando confusión,,Не понимаю,Ключевая фраза обучения указывающая на замешательство,,A2,hard,4
8,Αύριο,ÁV-rio,Tomorrow,Future time word used frequently in planning,,Morgen,Zukunfts-Zeit-Wort häufig in Planung verwendet,,Mañana,Palabra de tiempo futuro usada frecuentemente en planificación,,Завтра,Слово будущего времени часто используется в планировании,,A2,medium,4
9,Χθες,chthes,Yesterday,Past time word important for storytelling,,Gestern,Vergangenheits-Zeit-Wort wichtig für Geschichtenerzählen,,Ayer,Palabra de tiempo pasado importante para narrar,,Вчера,Слово прошедшего времени важное для повествования,,A2,medium,3
10,Σήμερα,SÍ-me-ra,Today,Present time word used constantly in conversations,,Heute,Gegenwarts-Zeit-Wort ständig in Gesprächen verwendet,,Hoy,Palabra de tiempo presente usada constantemente en conversaciones,,Сегодня,Слово настоящего времени постоянно используется в разговорах,,A2,easy,5
11,Οικογένεια,i-ko-YÉ-nia,Family,Important social topic for personal conversations,,Familie,Wichtiges soziales Thema für persönliche Gespräche,,Familia,Tema social importante para conversaciones personales,,Семья,Важная социальная тема для личных разговоров,,A2,easy,4
12,Δουλειά,dhu-liá,Work,Daily activity term essential for career discussions,,Arbeit,Tägliche Aktivitäts-Begriff notwendig für Karriere-Diskussionen,,Trabajo,Término de actividad diaria esencial para discusiones de carrera,,Работа,Термин ежедневной деятельности необходимый для карьерных обсуждений,,A2,easy,5
13,Σχολείο,scho-LÍ-o,School,Educational institution term for students,,Schule,Bildungseinrichtungs-Begriff für Studenten,,Escuela,Término de institución educativa para estudiantes,,Школа,Термин образовательного учреждения для студентов,,A2,easy,4
14,Νοσοκομείο,no-so-ko-MÍ-o,Hospital,Healthcare facility term important for emergencies,,Krankenhaus,Gesundheitseinrichtungs-Begriff wichtig für Notfälle,,Hospital,Término de instalación de salud importante para emergencias,,Больница,Термин медицинского учреждения важный для чрезвычайных ситуаций,,A2,medium,3
15,Φαρμακείο,far-ma-KÍ-o,Pharmacy,Medical supply store term essential for health,,Apotheke,Medizinische Versorgungs-Laden-Begriff notwendig für Gesundheit,,Farmacia,Término de tienda de suministros médicos esencial para salud,,Аптека,Термин магазина медицинских товаров необходимый для здоровья,,A2,easy,4
16,Τράπεζα,TRÁ-pe-za,Bank,Financial institution term necessary for money matters,,Bank,Finanzinstitutions-Begriff notwendig für Geld-Angelegenheiten,,Banco,Término de institución financiera necesario para asuntos de dinero,,Банк,Термин финансового учреждения необходимый для денежных дел,,A2,easy,4
17,Ταχυδρομείο,ta-chi-dhro-MÍ-o,Post office,Mail service location term useful for sending letters,,Postamt,Postdienst-Ort-Begriff nützlich zum Versenden von Briefen,,Oficina de correos,Término de ubicación de servicio postal útil para enviar cartas,,Почта,Термин места почтового обслуживания полезный для отправки писем,,A2,medium,3
18,Σουπερμάρκετ,su-per-már-ket,Supermarket,Grocery store term used frequently for shopping,,Supermarkt,Lebensmittelgeschäft-Begriff häufig zum Einkaufen verwendet,,Supermercado,Término de tienda de comestibles usado frecuentemente para compras,,Супермаркет,Термин продуктового магазина часто используется для покупок,,A2,easy,5
19,Αεροδρόμιο,a-e-ro-DHRÓ-mio,Airport,Travel hub term essential for flights,,Flughafen,Reise-Hub-Begriff notwendig für Flüge,,Aeropuerto,Término de centro de viajes esencial para vuelos,,Аэропорт,Термин транспортного узла необходимый для полетов,,A2,medium,3
20,Σταθμός,sta-THMÓS,Station,Transport stop term important for public transit,,Bahnhof,Transport-Haltestellen-Begriff wichtig für öffentlichen Verkehr,,Estación,Término de parada de transporte importante para tránsito público,,Вокзал,Термин транспортной остановки важный для общественного транспорта,,A2,easy,4
21,Λεωφορείο,le-o-fo-RÍ-o,Bus,Public transport vehicle term used daily,,Bus,Öffentliches Verkehrsmittel täglich verwendet,,Autobús,Término de vehículo de transporte público usado diariamente,,Автобус,Термин транспортного средства общественного транспорта используется ежедневно,,A2,easy,5
22,Τρένο,TRÉ-no,Train,Rail transport term important for travel,,Zug,Bahn-Transport-Begriff wichtig für Reisen,,Tren,Término de transporte ferroviario importante para viajar,,Поезд,Термин железнодорожного транспорта важный для путешествий,,A2,easy,4
23,Ταξί,ta-KSÍ,Taxi,Private transport option used for convenience,,Taxi,Private Transport-Option für Bequemlichkeit verwendet,,Taxi,Opción de transporte privado usada por conveniencia,,Такси,Вариант частного транспорта используется для удобства,,A2,easy,4
24,Εισιτήριο,i-si-TÍ-rio,Ticket,Travel document term necessary for transport,,Fahrkarte,Reise-Dokument-Begriff notwendig für Transport,,Boleto,Término de documento de viaje necesario para transporte,,Билет,Термин проездного документа необходимый для транспорта,,A2,medium,4
25,Χάρτης,CHÁR-tis,Map,Navigation tool term useful for finding locations,,Karte,Navigations-Werkzeug-Begriff nützlich zum Finden von Orten,,Mapa,Término de herramienta de navegación útil para encontrar ubicaciones,,Карта,Термин навигационного инструмента полезный для поиска мест,,A2,medium,3
26,Πληροφορίες,pli-ro-fo-RÍ-es,Information,Data term essential for inquiries,,Informationen,Daten-Begriff notwendig für Anfragen,,Información,Término de datos esencial para consultas,,Информация,Термин данных необходимый для запросов,,A2,medium,4
27,Βοήθεια,vo-Í-thi-a,Help,Assistance term crucial for emergencies,,Hilfe,Unterstützungs-Begriff entscheidend für Notfälle,,Ayuda,Término de asistencia crucial para emergencias,,Помощь,Термин помощи критический для чрезвычайных ситуаций,,A2,easy,5
28,Πρόβλημα,PRÓ-vli-ma,Problem,Issue term used when facing difficulties,,Problem,Problem-Begriff wenn Schwierigkeiten auftreten verwendet,,Problema,Término de problema usado al enfrentar dificultades,,Проблема,Термин проблемы используется при возникновении трудностей,,A2,medium,4
29,Λύση,LÍ-si,Solution,Resolution term important for problem-solving,,Lösung,Lösungs-Begriff wichtig zur Problemlösung,,Solución,Término de resolución importante para resolver problemas,,Решение,Термин решения важный для решения проблем,,A2,hard,3
30,Ερώτηση,e-RÓ-ti-si,Question,Inquiry term essential for learning,,Frage,Anfrage-Begriff notwendig zum Lernen,,Pregunta,Término de consulta esencial para aprender,,Вопрос,Термин запроса необходимый для обучения,,A2,medium,4
31,Απάντηση,a-PÁ-di-si,Answer,Response term necessary for communication,,Antwort,Antwort-Begriff notwendig für Kommunikation,,Respuesta,Término de respuesta necesario para comunicación,,Ответ,Термин ответа необходимый для общения,,A2,medium,4
