type,english,greek,phonetic,example_en,example_gr,level,difficulty,audio_url
vocabulary,Work,Δουλειά,thoo-LEH-a,I have work,Έχω δουλειά,A2,easy,
vocabulary,Job,Εργασία,er-gha-SEE-a,Good job,Καλή εργασία,A2,easy,
vocabulary,School,Σχολείο,skho-LEE-o,Elementary school,Δημοτικό σχολείο,A2,easy,
vocabulary,University,Πανεπιστήμιο,pa-neh-pee-STEE-mee-o,State university,Κρατικό πανεπιστήμιο,A2,medium,
vocabulary,Teacher,Δάσκαλος,THAS-ka-los,Good teacher,Καλός δάσκαλος,A2,easy,
vocabulary,Student,Μαθητής,ma-thee-TEES,Diligent student,Επιμελής μαθητής,A2,easy,
vocabulary,Book,Βιβλίο,vee-VLEE-o,Interesting book,Ενδιαφέρον βιβλίο,A2,easy,
vocabulary,Pen,Στυλό,stee-LOH,Blue pen,Μπλε στυλό,A2,easy,
vocabulary,Paper,Χαρτί,khar-TEE,White paper,Λευκό χαρτί,A2,easy,
vocabulary,Computer,Υπολογιστής,ee-po-lo-yee-STEES,Modern computer,Σύγχρονος υπολογιστής,A2,medium,
vocabulary,Phone,Τηλέφωνο,tee-LEH-fo-no,Mobile phone,Κινητό τηλέφωνο,A2,easy,
vocabulary,Internet,Διαδίκτυο,thee-a-THEEK-tee-o,Fast internet,Γρήγορο διαδίκτυο,A2,medium,
vocabulary,Email,Ηλεκτρονικό ταχυδρομείο,ee-lek-tro-nee-KOH ta-khee-thro-MEE-o,Send email,Στείλε email,A2,medium,
vocabulary,House,Σπίτι,SPEE-tee,Big house,Μεγάλο σπίτι,A2,easy,
vocabulary,Apartment,Διαμέρισμα,thee-a-MEH-ree-sma,Small apartment,Μικρό διαμέρισμα,A2,medium,
vocabulary,Room,Δωμάτιο,tho-MAH-tee-o,Clean room,Καθαρό δωμάτιο,A2,easy,
vocabulary,Kitchen,Κουζίνα,koo-ZEE-na,Modern kitchen,Μοντέρνα κουζίνα,A2,easy,
vocabulary,Bathroom,Μπάνιο,BAH-nee-o,Clean bathroom,Καθαρό μπάνιο,A2,easy,
vocabulary,Bedroom,Υπνοδωμάτιο,eep-no-tho-MAH-tee-o,Large bedroom,Μεγάλο υπνοδωμάτιο,A2,medium,
